lat,long
-34.50707469496768,143.59743154394795
-30.993917535342998,116.85077079801486
-34.13469630663255,135.790828103111
-37.002621655978295,143.95290076506225
-34.61315019054911,146.58032832304025
-34.404927151758365,147.89971713534382
-32.35340820872556,117.02427166992084
-22.502750081068633,148.3043610457994
-34.92251381430639,117.31283090639228
-32.929014948573595,137.6575237655482
-31.181285213160894,120.55531228493909
-27.05818650724685,144.4069330311405
-20.04011326374985,146.33794079769302
-34.709626262400526,149.11198504061
-33.90715587685016,119.01190885688641
-32.24065814539802,149.77019329280907
-36.93731733423779,142.52332549028145
-37.92090979464884,147.25328202074257
-34.7130355664721,118.39565483685554
-24.08074561646854,150.16462958206688
-22.650489666911113,144.60330435105882
-35.528732115342315,143.9432333696668
-34.454274225163054,149.63264938352577
-23.94500496390919,151.08468717259345
-35.99015039330215,144.2608501628275
-30.948596206878687,150.0967226966163
-20.34326864654128,119.13632486717425
-34.50996002774805,145.25410843180296
-25.908880081978385,153.00199130401822
-32.28481244040339,151.97713357160248
-23.691119339555545,149.53618562092146
-18.44798576677706,145.84547908841668
-26.633913837072484,146.47336009018062
-31.984738766453866,117.65377253541456
-27.575775051993265,114.7006525189612
-36.43704433525176,146.35894591461084
-33.238621161182635,118.1090897178324
-37.58711771441529,149.1512149139351
-12.728863464094621,142.37256245840206
-20.921540206675452,134.2191275365941
-32.13393084532687,118.82254975064149
-19.49514325793939,144.25910857822717
-35.284020804460795,146.54860729666868
-34.27622539983485,141.4437347902523
-37.73991243698998,141.52873081900483
-34.44441515636956,149.0589819640111
-34.336148987806155,150.7453629380857
-27.748012071913802,151.3646262609647
-32.45532694699337,116.77658758871307
-35.81576981595668,143.8291931106566
-32.03057808272703,148.4017930927409
-26.318905426454105,149.80965537495027
-28.754414140392907,149.5955139599994
-32.517289902647335,144.01215832237668
-25.5512247738306,151.92673632478986
-21.6694001743969,139.27210674740542
-17.196301738673576,141.72028350595247
-19.330523411314612,134.76350792712938
-38.392539187420994,142.90189960036372
-33.86252557267516,149.7036025964987
-27.9899124561514,143.93520832285537
-33.54040790011043,149.80972345659274
-36.02089215315452,143.94881391162048
-32.075446179074255,148.6591907727962
-34.130646447518096,116.98289656528681
-19.70520139686253,140.2218936621834
-32.13444975538022,150.27744103646452
-31.276756841608428,121.56733409545775
-33.78990210813527,147.49648864905566
-23.477273824528687,150.41555725440543
-35.40183314134806,142.35227700905006
-30.161384970436266,145.93262723625693
-36.806008473618476,143.51995366360748
-28.20349849966804,149.67038719048915
-38.232552437250995,141.90690710745955
-32.84526121405194,117.92089179979178
-33.9036631541226,118.91233698033886
-34.57867021868186,148.93291699668274
-34.842997705956265,145.16481947871043
